step,value
0,0
1,1
2,2
3,3
4,4
5,5
6,4
7,3
8,2
9,3
10,4
11,5
12,6
13,7
14,6
15,7
16,6
17,5
18,6
19,7
20,8
21,9
22,10
23,11
24,10
25,9
26,10
27,11
28,12
29,11
30,12
31,13
32,14
33,13
34,14
35,15
36,14
37,13
38,12
39,11
40,10
41,11
42,10
43,9
44,8
45,7
46,8
47,9
48,10
49,9
50,8
51,9
52,10
53,9
54,10
55,11
56,10
57,11
58,12
59,13
60,12
61,13
62,12
63,11
64,10
65,11
66,10
67,9
68,10
69,11
70,10
71,9
72,8
73,9
74,10
75,11
76,12
77,13
78,12
79,13
80,14
81,13
82,14
83,13
84,14
85,15
86,16
87,15
88,16
89,17
90,16
91,15
92,14
93,13
94,12
95,11
96,12
97,11
98,10
99,11
100,12
101,11
102,10
103,9
104,10
105,11
106,12
107,13
108,12
109,11
110,12
111,11
112,12
113,13
114,14
115,15
116,14
117,13
118,12
119,13
120,14
121,15
122,14
123,13
124,14
125,15
126,16
127,15
128,16
129,17
130,16
131,17
132,18
133,17
134,16
135,15
136,14
137,15
138,16
139,15
140,16
141,17
142,18
143,19
144,20
145,19
146,18
147,19
148,18
149,19
150,20
151,19
152,18
153,17
154,18
155,19
156,18
157,19
158,18
159,17
160,16
161,17
162,18
163,17
164,16
165,17
166,18
167,17
168,18
169,19
170,18
171,19
172,18
173,19
174,18
175,19
176,18
177,17
178,18
179,17
180,18
181,17
182,18
183,17
184,18
185,19
186,20
187,21
188,20
189,19
190,20
191,21
192,22
193,23
194,22
195,23
196,22
197,23
198,24
199,23
200,22
201,23
202,22
203,21
204,22
205,23
206,24
207,25
208,24
209,23
210,22
211,23
212,22
213,23
214,22
215,23
216,24
217,23
218,24
219,25
220,26
221,27
222,26
223,27
224,26
225,25
226,26
227,25
228,26
229,27
230,28
231,27
232,26
233,25
234,24
235,25
236,26
237,27
238,28
239,27
240,26
241,27
242,26
243,27
244,28
245,27
246,26
247,27
248,28
249,29
250,28
251,27
252,26
253,27
254,28
255,27
256,28
257,27
258,26
259,27
260,26
261,25
262,26
263,27
264,26
265,27
266,26
267,25
268,24
269,25
270,24
271,25
272,26
273,25
274,26
275,27
276,28
277,27
278,26
279,27
280,26
281,25
282,24
283,25
284,26
285,25
286,24
287,23
288,24
289,23
290,24
291,23
292,22
293,23
294,22
295,23
296,24
297,23
298,24
299,25
300,24
301,23
302,22
303,23
304,22
305,23
306,24
307,23
308,22
309,21
310,20
311,19
312,20
313,21
314,20
315,19
316,20
317,21
318,20
319,19
320,18
321,19
322,18
323,17
324,16
325,17
326,16
327,15
328,16
329,17
330,18
331,19
332,20
333,21
334,20
335,19
336,18
337,19
338,18
339,17
340,16
341,17
342,16
343,17
344,16
345,15
346,14
347,15
348,14
349,15
350,14
351,13
352,14
353,13
354,14
355,15
356,16
357,15
358,14
359,13
360,12
361,13
362,14
363,13
364,14
365,15
366,16
367,17
368,18
369,17
370,18
371,19
372,18
373,19
374,18
375,19
376,20
377,21
378,20
379,19
380,20
381,19
382,18
383,19
384,20
385,21
386,22
387,21
388,20
389,21
390,20
391,21
392,20
393,19
394,20
395,21
396,20
397,19
398,18
399,17
400,18
401,19
402,18
403,19
404,18
405,19
406,18
407,17
408,16
409,17
410,16
411,15
412,16
413,17
414,16
415,17
416,18
417,17
418,18
419,19
420,20
421,21
422,20
423,19
424,20
425,21
426,22
427,23
428,24
429,25
430,24
431,25
432,24
433,23
434,24
435,23
436,24
437,23
438,24
439,25
440,24
441,23
442,24
443,23
444,22
445,21
446,20
447,21
448,20
449,21
450,20
451,19
452,18
453,17
454,16
455,17
456,18
457,17
458,18
459,17
460,18
461,19
462,18
463,17
464,16
465,15
466,14
467,13
468,12
469,11
470,12
471,13
472,12
473,11
474,10
475,9
476,8
477,9
478,10
479,11
480,10
481,9
482,10
483,11
484,10
485,9
486,10
487,11
488,10
489,9
490,8
491,7
492,6
493,7
494,8
495,7
496,6
497,7
498,8
499,7
500,6
501,7
502,6
503,7
504,6
505,7
506,8
507,7
508,8
509,7
510,8
511,9
512,8
513,9
514,8
515,9
516,8
517,7
518,6
519,5
520,4
521,3
522,2
523,3
524,4
525,3
526,2
527,3
528,2
529,3
530,2
531,1
532,2
533,1
534,0
535,-1
536,0
537,1
538,0
539,-1
540,0
541,-1
542,0
543,-1
544,0
545,1
546,0
547,-1
548,0
549,-1
550,-2
551,-3
552,-4
553,-3
554,-4
555,-3
556,-2
557,-1
558,-2
559,-1
560,-2
561,-3
562,-4
563,-5
564,-6
565,-5
566,-4
567,-5
568,-4
569,-5
570,-6
571,-7
572,-6
573,-7
574,-6
575,-7
576,-6
577,-7
578,-8
579,-9
580,-10
581,-11
582,-10
583,-9
584,-10
585,-9
586,-8
587,-9
588,-8
589,-9
590,-10
591,-9
592,-8
593,-9
594,-10
595,-11
596,-12
597,-11
598,-10
599,-11
600,-10
601,-9
602,-10
603,-9
604,-8
605,-7
606,-6
607,-5
608,-6
609,-5
610,-4
611,-3
612,-2
613,-3
614,-4
615,-3
616,-2
617,-1
618,-2
619,-1
620,-2
621,-3
622,-4
623,-5
624,-4
625,-3
626,-2
627,-3
628,-2
629,-1
630,-2
631,-3
632,-4
633,-3
634,-2
635,-1
636,0
637,-1
638,0
639,1
640,0
641,1
642,0
643,1
644,2
645,3
646,4
647,3
648,2
649,3
650,4
651,3
652,4
653,5
654,6
655,5
656,4
657,5
658,4
659,3
660,2
661,3
662,2
663,3
664,2
665,3
666,4
667,3
668,2
669,1
670,2
671,3
672,2
673,3
674,4
675,5
676,4
677,5
678,4
679,5
680,4
681,3
682,2
683,3
684,4
685,3
686,4
687,3
688,4
689,3
690,4
691,3
692,4
693,3
694,4
695,3
696,4
697,3
698,2
699,3
700,4
701,5
702,4
703,5
704,6
705,5
706,4
707,5
708,6
709,7
710,8
711,7
712,6
713,5
714,6
715,7
716,8
717,7
718,8
719,7
720,6
721,7
722,8
723,7
724,8
725,7
726,8
727,7
728,8
729,7
730,6
731,5
732,6
733,7
734,8
735,9
736,10
737,11
738,12
739,11
740,12
741,11
742,10
743,11
744,10
745,9
746,8
747,7
748,8
749,9
750,8
751,7
752,6
753,5
754,6
755,7
756,8
757,9
758,10
759,9
760,8
761,7
762,8
763,9
764,8
765,9
766,10
767,11
768,12
769,13
770,12
771,13
772,12
773,13
774,14
775,13
776,12
777,13
778,12
779,13
780,12
781,13
782,12
783,13
784,12
785,13
786,14
787,15
788,16
789,17
790,16
791,17
792,18
793,19
794,20
795,19
796,20
797,19
798,18
799,19
800,20
801,21
802,22
803,21
804,22
805,21
806,22
807,23
808,22
809,21
810,22
811,23
812,24
813,23
814,24
815,25
816,24
817,23
818,22
819,21
820,22
821,21
822,20
823,19
824,18
825,17
826,16
827,15
828,16
829,15
830,16
831,17
832,18
833,19
834,18
835,17
836,16
837,15
838,14
839,13
840,12
841,13
842,14
843,13
844,14
845,15
846,16
847,17
848,18
849,17
850,16
851,15
852,14
853,13
854,14
855,13
856,14
857,13
858,12
859,13
860,14
861,15
862,14
863,13
864,12
865,11
866,12
867,11
868,12
869,11
870,10
871,9
872,10
873,9
874,10
875,9
876,10
877,11
878,10
879,9
880,8
881,7
882,8
883,9
884,8
885,7
886,6
887,7
888,8
889,9
890,10
891,9
892,8
893,9
894,10
895,11
896,10
897,9
898,10
899,11
900,10
901,9
902,8
903,9
904,10
905,9
906,10
907,11
908,12
909,13
910,12
911,13
912,12
913,11
914,12
915,13
916,14
917,13
918,12
919,13
920,14
921,13
922,14
923,15
924,14
925,15
926,16
927,17
928,18
929,17
930,18
931,17
932,16
933,15
934,16
935,15
936,14
937,15
938,14
939,13
940,12
941,11
942,10
943,11
944,10
945,9
946,10
947,11
948,10
949,9
950,8
951,9
952,8
953,9
954,8
955,7
956,6
957,5
958,4
959,5
960,4
961,5
962,6
963,7
964,8
965,7
966,6
967,5
968,4
969,5
970,4
971,3
972,2
973,1
974,2
975,1
976,0
977,1
978,0
979,1
980,2
981,1
982,0
983,-1
984,0
985,1
986,0
987,-1
988,-2
989,-3
990,-2
991,-3
992,-4
993,-3
994,-4
995,-5
996,-6
997,-7
998,-8
999,-9
1000,-10
