step,value
0,0
1,-1
2,0
3,1
4,0
5,-1
6,-2
7,-1
8,-2
9,-3
10,-4
11,-5
12,-4
13,-5
14,-6
15,-5
16,-4
17,-3
18,-4
19,-3
20,-2
21,-1
22,0
23,-1
24,0
25,-1
26,-2
27,-1
28,0
29,-1
30,-2
31,-1
32,0
33,-1
34,-2
35,-1
36,0
37,1
38,2
39,1
40,0
41,-1
42,0
43,-1
44,0
45,-1
46,-2
47,-1
48,0
49,-1
50,0
51,-1
52,0
53,1
54,0
55,-1
56,0
57,-1
58,-2
59,-3
60,-4
61,-3
62,-4
63,-3
64,-4
65,-5
66,-6
67,-5
68,-4
69,-5
70,-4
71,-5
72,-4
73,-3
74,-2
75,-3
76,-4
77,-3
78,-2
79,-3
80,-2
81,-3
82,-2
83,-1
84,0
85,1
86,0
87,1
88,2
89,3
90,4
91,5
92,6
93,5
94,6
95,5
96,6
97,7
98,8
99,9
100,8
